Date,Open,High,Low,Close,Volume
Thu Mar  4 11:00:00 2021,49717.38,50639.6,49271.51,49411.91,295.31557309
Thu Mar  4 12:00:00 2021,49432.05,49809.0,48823.57,49441.29,310.88877403
Thu Mar  4 13:00:00 2021,49431.93,50034.0,49325.28,49718.63,144.98873274
Thu Mar  4 14:00:00 2021,49718.64,49934.3,48286.06,48502.26,308.64372362
Thu Mar  4 15:00:00 2021,48442.28,48609.67,47520.02,47566.05,544.86604932
Thu Mar  4 16:00:00 2021,47600.0,48365.31,47557.9,47976.5,321.33015617
Thu Mar  4 17:00:00 2021,47993.0,48249.15,47500.0,48208.0,341.37791381
Thu Mar  4 18:00:00 2021,48221.38,48408.14,47800.0,47900.0,146.01985403
Thu Mar  4 19:00:00 2021,47900.0,48357.52,47844.36,48250.0,161.17467221
Thu Mar  4 20:00:00 2021,48249.66,48688.72,48045.0,48360.5,128.3905776
Thu Mar  4 21:00:00 2021,48353.09,48356.56,46502.34,46794.45,701.70147288
Thu Mar  4 22:00:00 2021,46811.47,46964.31,46294.0,46683.32,311.79056007
Thu Mar  4 23:00:00 2021,46697.22,47191.6,46372.09,47127.27,148.7272132
Fri Mar  5 00:00:00 2021,47101.32,47396.4,46849.39,47324.94,281.26352169
Fri Mar  5 01:00:00 2021,47306.79,47312.63,46570.53,46694.17,132.85002607
Fri Mar  5 02:00:00 2021,46739.6,47299.0,46677.91,47139.52,143.15879073
Fri Mar  5 03:00:00 2021,47141.08,47494.39,46963.67,47424.61,192.82097289
Fri Mar  5 04:00:00 2021,47419.73,47588.99,47025.68,47434.13,154.03602741
Fri Mar  5 05:00:00 2021,47410.08,47492.34,46396.08,46602.32,173.75633111
Fri Mar  5 06:00:00 2021,46612.1,47154.72,46529.14,47034.62,133.29566188
Fri Mar  5 07:00:00 2021,47034.62,47210.33,46777.68,47072.84,153.23632195
Fri Mar  5 08:00:00 2021,47086.23,47529.04,47086.23,47527.88,102.08142682
Fri Mar  5 09:00:00 2021,47524.12,47879.37,46965.0,47650.0,166.6501738
Fri Mar  5 10:00:00 2021,47699.05,48345.58,47359.88,48086.81,217.83433553
Fri Mar  5 11:00:00 2021,48100.59,48787.67,47945.24,48121.14,410.80662182
Fri Mar  5 12:00:00 2021,48144.66,48714.58,47864.27,47864.27,268.61204291
Fri Mar  5 13:00:00 2021,47870.03,47870.03,46900.0,47646.13,281.25210646
Fri Mar  5 14:00:00 2021,47674.92,48241.95,47316.45,48101.42,226.87133847
Fri Mar  5 15:00:00 2021,48110.12,48567.61,47925.31,48498.21,275.01948962
Fri Mar  5 16:00:00 2021,48503.73,49422.13,48325.0,49309.14,193.99594216
Fri Mar  5 17:00:00 2021,49331.18,49471.24,48880.31,49198.45,230.91650935
Fri Mar  5 18:00:00 2021,49214.92,49422.58,48900.0,49056.78,120.4440694
Fri Mar  5 19:00:00 2021,49094.11,49437.61,48745.72,49117.34,123.65880522
Fri Mar  5 20:00:00 2021,49068.92,49161.24,48621.04,48739.21,74.46714731
Fri Mar  5 21:00:00 2021,48774.67,49174.63,48694.52,48837.68,70.58949492
Fri Mar  5 22:00:00 2021,48828.96,48923.01,48539.63,48696.37,43.51923233
Fri Mar  5 23:00:00 2021,48648.96,48708.13,48203.41,48699.52,68.70143852
Sat Mar  6 00:00:00 2021,48697.66,48795.19,48441.56,48613.53,109.03522154
Sat Mar  6 01:00:00 2021,48646.32,48646.32,48101.5,48475.47,59.99630643
Sat Mar  6 02:00:00 2021,48451.48,48864.0,48207.05,48481.45,164.58017379
Sat Mar  6 03:00:00 2021,48514.29,49022.84,48514.29,48938.7,75.91130652
Sat Mar  6 04:00:00 2021,48943.52,49133.59,48800.0,48835.25,69.13358984
Sat Mar  6 05:00:00 2021,48848.1,49098.85,48615.6,48656.2,66.90618153
Sat Mar  6 06:00:00 2021,48649.24,48804.05,48290.25,48333.9,61.26395769
Sat Mar  6 07:00:00 2021,48298.82,48510.0,47950.0,48051.74,85.99318472
Sat Mar  6 08:00:00 2021,47985.21,48315.51,47983.99,48149.9,88.97094577
Sat Mar  6 09:00:00 2021,48140.17,48199.77,47377.91,47616.51,199.43314224
Sat Mar  6 10:00:00 2021,47642.0,47743.78,47082.29,47335.45,181.1530683
Sat Mar  6 11:00:00 2021,47294.12,47713.39,47195.98,47598.4,83.81552253
Sat Mar  6 12:00:00 2021,47574.24,47761.09,47280.0,47300.48,45.79014164
Sat Mar  6 13:00:00 2021,47311.83,47946.42,47156.04,47798.59,82.98504181
